Co-term, , , , , , , ,Target,Co-term
Dynasty,shi,han,houhan,sanguo,jiutang,song,ming,Total,Total
黃,431,699,773,412,1198,4090,2936,10539,10539
帝,1766,3181,3371,1098,3274,7994,11219,31903,31903
者,4338,5529,4218,1973,7547,20636,13509,57750,57750
少,607,896,814,436,2532,4191,2924,12400,12400
典,40,166,374,238,1083,1308,1455,4664,4664
之,13717,16305,14098,8729,38910,68880,38970,199609,199609
子,7370,6455,3985,2046,10145,16165,14941,61107,61107
姓,349,504,490,221,1057,862,459,3942,3942
公,5458,3216,1877,1269,4738,5688,2745,24991,24991
孫,621,1491,622,673,1123,2326,2107,8963,8963
名,643,939,1037,557,2931,5674,3689,15470,15470
曰,6081,5727,4163,2729,8522,16289,9820,53331,53331
軒,32,23,65,15,145,359,114,753,753
轅,35,34,52,15,71,311,80,598,598
生,1306,1292,1150,449,2011,4104,3287,13599,13599
而,6524,6177,5114,2717,9677,20698,13631,64538,64538
神,397,558,373,192,2364,4250,1772,9906,9906
靈,275,196,377,140,922,1691,556,4157,4157
弱,194,189,241,155,262,413,299,1753,1753
能,1255,1421,1321,862,2338,4560,2863,14620,14620
言,1620,2483,1766,970,4054,13998,10644,35535,35535
幼,26,109,95,66,275,547,515,1633,1633
徇,70,37,59,21,167,217,242,813,813
齊,2568,1124,278,191,978,1159,487,6785,6785
長,1222,2119,1652,799,3852,3987,4381,18012,18012
敦,42,67,149,53,213,347,125,996,996
敏,16,32,62,53,227,867,420,1677,1677
成,1116,1600,924,504,2550,5057,5731,17482,17482
聰,15,46,40,22,151,190,264,728,728
明,725,1614,1422,788,3193,7654,5442,20838,20838
時,1301,2305,2483,1288,6098,8513,7971,29959,29959
農,75,286,257,164,409,929,308,2428,2428
氏,817,1153,831,254,1519,2065,1736,8375,8375
世,835,1447,1041,547,1024,4472,4181,13547,13547
衰,163,195,135,71,217,401,264,1446,1446
諸,1813,1857,1484,1252,3204,8115,7383,25108,25108
侯,4820,5926,1826,1107,571,1080,1700,17030,17030
相,2306,2803,1547,1033,4382,7458,3378,22907,22907
侵,180,181,129,63,304,674,703,2234,2234
伐,1240,290,233,176,280,489,229,2937,2937
暴,179,255,190,92,346,571,298,1931,1931
虐,35,53,62,23,85,100,152,510,510
百,1275,2863,2279,772,7034,10681,6856,31760,31760
弗,341,198,29,33,30,432,357,1420,1420
征,63,195,673,541,996,1162,1938,5568,5568
於,4374,4243,4647,2737,13220,19193,12728,61142,61142
是,2375,2595,2006,1180,4824,8233,5483,26696,26696
乃,2383,1841,2379,984,3630,5658,5364,22239,22239
習,99,177,199,84,330,1118,530,2537,2537
用,911,1164,782,583,3302,8756,5066,20564,20564
干,98,87,128,72,155,250,125,915,915
戈,23,26,37,26,167,166,98,543,543
以,8111,11587,9312,5735,24650,55225,27842,142462,142462
不,8080,10279,8491,5264,17251,37064,24862,111291,111291
享,70,69,50,14,410,863,409,1885,1885
咸,202,401,141,199,715,1179,279,3116,3116
來,1015,662,685,459,2646,5152,3141,13760,13760
賓,156,179,205,71,697,783,753,2844,2844
從,1448,1657,1489,989,4270,7256,6042,23151,23151
蚩,15,15,19,6,6,24,5,90,90
尤,61,193,202,43,548,938,683,2668,2668
最,114,153,76,55,245,644,646,1933,1933
爲,196,1450,1258,1753,546,4671,2423,12297,12297
莫,410,583,566,223,812,1276,808,4678,4678
炎,14,40,35,8,259,767,53,1176,1176
欲,1550,1709,1222,962,1849,4057,2548,13897,13897
陵,529,1064,1024,527,1576,1914,1485,8119,8119
歸,847,833,972,395,2026,4281,3917,13271,13271
修,208,268,401,54,1269,4191,2068,8459,8459
德,685,1178,1046,500,5508,7023,5012,20952,20952
振,104,115,76,67,486,1168,1192,3208,3208
兵,2010,2038,1872,1368,5859,12315,11779,37241,37241
治,585,1105,126,445,967,3310,4239,10777,10777
五,2953,3308,2373,724,7178,15579,11405,43520,43520
氣,248,429,374,123,808,2392,924,5298,5298
蓺,2,7,28,0,0,0,0,37,37
種,84,142,380,78,166,528,324,1702,1702
撫,43,53,120,113,557,3228,4742,8856,8856
萬,1005,1957,1605,604,4068,8090,7824,25153,25153
民,856,2030,704,904,391,8848,5882,19615,19615
度,246,626,879,257,6698,7398,2315,18419,18419
四,3081,3062,2137,642,6883,14626,13581,44012,44012
方,774,1241,1025,449,3154,5406,3875,15924,15924
教,194,291,261,180,699,1895,1250,4770,4770
熊,130,71,29,20,81,127,488,946,946
羆,16,8,4,2,7,13,5,55,55
貔,2,1,1,0,12,47,3,66,66
貅,1,0,0,0,5,7,2,15,15
貙,2,1,5,0,0,0,0,8,8
虎,133,152,293,152,101,635,581,2047,2047
與,2863,2971,2448,1887,5547,13987,7661,37364,37364
戰,585,451,551,447,1177,3067,2467,8745,8745
阪,24,19,3,15,20,11,17,109,109
泉,112,288,131,37,487,900,500,2455,2455
野,149,223,236,81,351,500,338,1878,1878
三,4599,4194,3163,1012,10274,23059,17391,63692,63692
然,1065,1238,828,791,2127,4695,2778,13522,13522
後,1660,2836,2421,1472,5217,9156,6612,29374,29374
得,2026,2451,1831,1059,3398,8393,5709,24867,24867
其,5629,6642,5574,3206,15009,28178,17984,82222,82222
志,164,149,383,227,710,1357,922,3912,3912
作,624,753,720,467,1378,3286,1239,8467,8467
亂,464,644,524,386,1304,1303,1297,5922,5922
命,552,628,812,598,2564,7430,5923,18507,18507
徵,127,331,456,193,351,383,641,2482,2482
師,531,974,900,249,3638,8281,4077,18650,18650
涿,10,46,65,30,52,89,52,344,344
鹿,87,115,125,33,173,233,188,954,954
遂,979,941,1696,887,2234,4620,4455,15812,15812
禽,103,122,77,102,74,216,63,757,757
殺,1279,1332,1059,494,1755,2064,2695,10678,10678
尊,260,658,328,161,619,1137,705,3868,3868
天,2559,3855,2378,1078,7340,11833,8325,37368,37368
代,760,619,407,210,2290,2155,1866,8307,8307
下,2935,4482,3077,1657,8134,14198,10369,44852,44852
有,3431,5201,4974,2725,10115,22730,19125,68301,68301
順,126,273,409,138,908,1787,2405,6046,6046
平,1221,1816,1684,874,4470,8374,5715,24154,24154
去,807,893,819,289,1459,4307,3222,11796,11796
披,17,19,32,13,93,106,55,335,335
山,957,1306,1097,561,3243,4015,8938,20117,20117
通,494,782,626,271,1919,4882,3019,11993,11993
道,887,1611,1255,657,4667,7982,4954,22013,22013
未,864,1388,1199,908,3389,9186,4871,21805,21805
嘗,443,291,251,113,1037,3267,1682,7084,7084
寧,128,173,258,258,1084,4036,4210,10147,10147
居,873,1032,680,291,1984,4374,3552,12786,12786
東,1307,1778,1468,991,4780,9212,10469,30005,30005
至,2132,3026,2241,1356,7189,15332,9931,41207,41207
于,902,1580,346,116,1974,253,164,5335,5335
海,363,628,647,360,1280,2246,3468,8992,8992
登,110,214,206,169,1056,1736,1276,4767,4767
丸,7,10,11,104,24,19,71,246,246
及,1203,1864,2108,859,5875,9966,7528,29403,29403
岱,14,18,58,107,35,21,60,313,313
宗,312,842,984,227,7693,12265,5989,28312,28312
西,1055,1264,1323,644,3685,10377,10573,28921,28921
空,93,248,482,152,694,649,367,2685,2685
桐,22,24,16,2,32,53,156,305,305
雞,40,75,57,14,134,200,172,692,692
頭,128,173,274,116,284,1080,763,2818,2818
南,1170,1557,1671,923,5525,10667,13920,35433,35433
江,338,407,382,511,1655,6350,6649,16292,16292
湘,15,17,12,12,100,204,182,542,542
北,860,1070,1178,461,2558,7423,6677,20227,20227
逐,153,201,111,37,386,656,480,2024,2024
葷,7,1,1,0,8,9,7,33,33
粥,18,9,14,3,5,61,24,134,134
合,358,505,596,327,1632,3422,2103,8943,8943
符,100,183,134,45,444,1629,349,2884,2884
釜,8,9,5,1,3,37,40,103,103
邑,510,727,473,304,818,790,535,4157,4157
阿,96,135,186,82,307,315,904,2025,2025
遷,264,490,743,493,2333,5837,2998,13158,13158
徙,357,493,358,287,308,2335,685,4823,4823
往,508,455,339,302,1003,2102,1933,6642,6642
無,2059,1913,2409,1448,5889,9504,6937,30159,30159
常,637,966,1250,560,3068,4947,2210,13638,13638
處,241,334,285,199,1505,1881,1186,5631,5631
營,83,143,369,222,1127,1591,2177,5712,5712
衞,39,148,26,90,4,143,87,537,537
官,462,1323,1364,578,6200,18538,14611,43076,43076
皆,1437,2465,2033,1151,4164,8356,6007,25613,25613
雲,162,431,478,179,1186,2106,2687,7229,7229
置,376,577,521,194,4555,7034,3744,17001,17001
左,428,857,679,347,3844,5158,3993,15306,15306
右,481,786,528,328,3270,5941,4437,15771,15771
大,3434,5640,4092,2233,11880,21872,17831,66982,66982
監,87,138,120,96,2001,5674,2461,10577,10577
國,2713,3081,2392,1151,6037,10067,6872,32313,32313
和,344,530,749,322,2242,4188,2176,10551,10551
鬼,106,123,148,30,116,506,167,1196,1196
川,239,325,228,90,1004,2245,2232,6363,6363
封,1088,2213,1194,782,3233,4458,5452,18420,18420
禪,113,92,77,47,184,303,92,908,908
多,627,904,1026,481,2436,4819,3426,13719,13719
焉,519,765,804,308,1137,1956,1336,6825,6825
獲,109,247,322,163,767,1148,1320,4076,4076
寶,132,195,157,77,2035,3127,1357,7080,7080
鼎,199,275,65,28,253,970,473,2263,2263
迎,200,193,286,196,546,941,822,3184,3184
日,963,1883,1846,606,6188,12088,7125,30699,30699
推,118,196,208,96,670,1711,1403,4402,4402
筴,15,0,0,0,0,9,3,27,27
舉,338,674,964,484,1578,5965,2863,12866,12866
風,212,525,594,244,1162,1858,1249,5844,5844
后,950,1978,891,247,1101,2945,1359,9471,9471
力,277,413,352,283,953,2798,2651,7727,7727
牧,117,164,251,208,373,682,344,2139,2139
先,856,1028,988,1101,2572,4552,3928,15025,15025
鴻,57,175,272,31,357,320,295,1507,1507
地,1207,1485,914,353,2160,5007,4076,15202,15202
紀,117,237,185,116,574,724,816,2769,2769
幽,140,136,195,84,791,294,101,1741,1741
占,79,155,115,24,119,660,367,1519,1519
死,1398,1524,1168,649,2067,4513,5961,17280,17280
說,620,663,325,181,716,1674,751,4930,4930
存,103,160,210,145,694,1068,585,2965,2965
亡,773,1562,451,278,705,1152,721,5642,5642
難,259,348,420,387,1087,1388,1097,4986,4986
播,8,12,22,20,316,170,206,754,754
穀,108,271,166,108,257,923,214,2047,2047
草,61,157,141,68,425,957,658,2467,2467
木,99,278,169,60,401,1128,1387,3522,3522
淳,41,49,63,27,216,1531,269,2196,2196
化,92,317,305,172,760,1751,2737,6134,6134
鳥,76,114,99,29,154,79,63,614,614
獸,96,125,65,24,122,103,116,651,651
蟲,18,66,58,10,84,110,55,401,401
蛾,1,4,3,1,5,6,5,25,25
旁,113,167,16,17,78,394,374,1159,1159
羅,41,72,62,42,750,939,1519,3425,3425
月,1602,3421,2860,1016,8204,21623,18391,57117,57117
星,334,665,451,61,703,7031,1636,10881,10881
辰,111,286,282,72,1025,3449,1222,6447,6447
水,426,876,698,351,1821,5166,5208,14546,14546
波,30,62,66,18,109,179,192,656,656
土,230,420,335,247,622,1692,2516,6062,6062
石,403,959,711,175,1227,3705,3060,10240,10240
金,510,857,550,158,2031,8100,3953,16159,16159
玉,131,171,206,60,798,2028,1859,5253,5253
勞,119,219,233,165,593,1007,653,2989,2989
勤,29,85,178,113,378,581,475,1839,1839
心,424,816,803,518,1928,2965,2052,9506,9506
耳,561,454,299,327,533,833,786,3793,3793
目,95,132,141,85,416,978,881,2728,2728
節,248,662,726,418,5417,5683,1504,14658,14658
火,96,328,240,55,393,1253,1044,3409,3409
材,71,266,14,20,155,621,308,1455,1455
物,403,478,414,181,1290,2172,1158,6096,6096
瑞,26,57,63,20,129,479,611,1385,1385
故,1952,2806,1878,851,2895,4680,4128,19190,19190
號,266,491,423,190,976,1665,1051,5062,5062
二,5368,4616,3226,1177,11433,23885,21241,70946,70946
十,9213,6236,4393,1297,14836,30392,31101,97468,97468
人,4945,5975,5861,2735,14423,27335,19248,80522,80522
丘,249,265,201,115,528,585,453,2396,2396
娶,54,19,53,17,75,118,91,427,427
女,575,707,543,223,867,1321,1349,5585,5585
嫘,2,0,0,0,0,0,0,2,2
祖,456,680,536,1271,2270,4597,3923,13733,13733
正,424,1111,882,502,3646,8766,8264,23595,23595
妃,28,65,38,49,417,632,1119,2348,2348
一,2342,2839,2437,938,9906,26067,18767,63296,63296
玄,69,408,322,171,2114,563,247,3894,3894
囂,18,31,253,10,38,26,24,400,400
青,189,273,220,156,877,2192,845,4752,4752
陽,1666,2342,2302,845,3329,4036,4064,18584,18584
降,394,585,776,406,1562,3616,2425,9764,9764
昌,265,550,206,214,1261,2050,2444,6990,6990
意,501,735,547,437,1111,2801,1637,7769,7769
若,557,592,720,588,2039,4327,1633,10456,10456
蜀,182,167,184,403,499,1371,432,3238,3238
僕,66,217,244,125,1330,882,520,3384,3384
高,1169,1440,965,434,3346,3641,2950,13945,13945
聖,190,583,505,257,1592,3187,1331,7645,7645
惪,4,3,0,0,0,9,1,17,17
崩,269,340,300,82,232,334,365,1922,1922
葬,177,218,293,121,574,737,692,2812,2812
橋,40,46,67,55,275,470,600,1553,1553
立,2206,1876,1287,497,2228,4707,3378,16179,16179
顓,32,123,13,0,19,69,33,289,289
頊,30,33,9,0,46,22,7,147,147
也,4578,5540,3414,2793,6772,9765,7186,40048,40048
靜,44,53,108,77,349,701,270,1602,1602
淵,40,52,70,229,15,847,572,1825,1825
謀,482,595,459,275,1251,1612,1207,5881,5881
疏,94,216,315,202,945,2092,3998,7862,7862
知,1002,1237,943,534,4148,16759,5748,30371,30371
事,1615,2497,2342,1444,9174,20020,14525,51617,51617
養,103,259,266,117,361,1000,1005,3111,3111
任,228,444,517,321,1247,2898,2463,8118,8118
載,132,180,203,117,1218,1041,867,3758,3758
象,98,337,170,47,513,1227,835,3227,3227
依,24,81,159,111,1111,1787,374,3647,3647
制,220,611,448,237,2602,7219,2567,13904,13904
義,511,775,845,489,3134,3798,1993,11545,11545
絜,19,24,41,13,6,10,1,114,114
誠,154,291,375,226,1068,982,1057,4153,4153
祭,148,219,279,88,1196,1532,1742,5204,5204
祀,147,249,194,70,777,2076,1670,5183,5183
交,168,209,369,251,888,1947,1674,5506,5506
阯,8,7,59,40,1,132,221,468,468
流,166,420,436,267,1453,3205,3271,9218,9218
沙,121,138,105,74,401,556,1137,2532,2532
蟠,4,2,27,1,8,36,35,113,113
動,173,320,312,227,567,1152,597,3348,3348
小,596,664,712,337,1246,2990,2221,8766,8766
所,2099,3407,3099,2067,8203,14054,9916,42845,42845
照,13,8,34,18,89,599,234,995,995
砥,14,3,6,3,13,17,40,96,96
屬,469,868,801,296,2833,2411,3266,10944,10944
窮,148,207,209,104,302,474,361,1805,1805
蟬,10,9,12,2,14,37,19,103,103
辛,136,202,260,69,913,3123,1082,5785,5785
嚳,14,10,2,0,25,10,6,67,67
曾,76,294,150,57,459,1254,639,2929,2929
父,809,966,798,374,1889,2631,2501,9968,9968
蟜,20,8,0,0,2,0,0,30,30
極,155,294,235,90,767,1334,1177,4052,4052
自,1697,2576,2569,1493,6210,12351,8093,34989,34989
在,824,1575,1571,972,4606,7747,3888,21183,21183
位,368,1121,811,431,1979,3916,2209,10835,10835
即,657,973,745,430,2365,5272,3657,14099,14099
族,159,197,230,151,475,1131,430,2773,2773
普,6,26,35,73,236,625,351,1352,1352
施,115,234,207,144,359,842,363,2264,2264
利,498,523,287,243,1288,3194,1362,7395,7395
身,444,495,525,319,1033,1654,1076,5546,5546
遠,255,442,506,373,1111,2567,1833,7087,7087
察,88,217,195,109,2222,2679,1523,7033,7033
微,168,302,293,116,664,1464,581,3588,3588
急,273,268,227,186,417,1812,1035,4218,4218
仁,207,340,305,277,1249,2715,2101,7194,7194
威,229,457,615,373,1071,1336,938,5019,5019
惠,582,466,139,94,446,1041,801,3569,3569
信,849,984,412,239,986,2513,1295,7278,7278
脩,21,97,67,208,23,48,3,467,467
服,365,558,656,326,1460,3340,2131,8836,8836
取,758,543,308,352,1228,3231,1715,8135,8135
財,185,247,227,110,451,1076,394,2690,2690
誨,7,3,26,10,69,262,37,414,414
曆,35,156,18,2,633,2242,2220,5306,5306
送,114,188,241,157,761,1103,694,3258,3258
敬,291,452,276,165,1332,254,997,3767,3767
色,179,239,217,126,615,1657,810,3843,3843
郁,35,40,39,3,172,41,40,370,370
嶷,2,2,6,48,10,17,11,96,96
士,835,1235,1108,721,4749,12844,8433,29925,29925
溉,20,33,11,6,22,181,65,338,338
執,187,278,359,155,854,2880,1736,6449,6449
中,2208,3576,3526,1787,12467,20371,14018,57953,57953
徧,4,12,0,2,0,6,0,24,24
雨,135,278,264,69,477,1689,888,3800,3800
陳,903,862,815,503,1615,3881,3649,12228,12228
鋒,27,26,57,64,230,365,259,1028,1028
放,64,187,169,111,443,640,262,1876,1876
勳,28,101,178,118,353,600,282,1660,1660
娵,1,3,1,0,0,0,4,9,9
訾,11,65,17,4,11,33,36,177,177
摯,14,16,2,6,22,177,24,261,261
善,573,671,601,371,1551,4218,2080,10065,10065
弟,802,876,817,354,1354,1547,1444,7194,7194
堯,122,134,98,43,209,724,215,1545,1545
如,1274,1465,1037,700,2829,7873,4877,20055,20055
就,150,301,510,221,715,1827,1003,4727,4727
望,268,538,443,229,1270,2563,1288,6599,6599
富,251,324,182,69,369,943,628,2766,2766
驕,112,143,102,44,181,207,209,998,998
貴,361,550,580,191,917,1641,1985,6225,6225
舒,117,274,73,30,284,447,123,1348,1348
收,221,299,434,205,969,1297,806,4231,4231
純,13,41,158,44,87,727,411,1481,1481
衣,263,412,420,138,826,1587,1803,5449,5449
彤,9,3,36,4,20,29,12,113,113
車,525,925,1048,311,753,1392,628,5582,5582
乘,363,562,490,223,959,1914,1128,5639,5639
白,386,638,571,261,1125,4594,1994,9569,9569
馬,639,1184,1189,759,3195,5929,4132,17027,17027
馴,13,4,15,0,27,109,135,303,303
親,441,843,666,406,1819,3261,1685,9121,9121
九,1502,1386,1161,323,3819,6397,6716,21304,21304
既,491,548,547,291,2060,3926,2416,10279,10279
睦,10,34,56,25,133,184,112,554,554
便,153,238,213,232,863,1721,762,4182,4182
章,351,643,702,195,2350,3625,1975,9841,9841
昭,535,615,176,270,1371,1988,712,5667,5667
羲,9,31,24,37,78,111,23,313,313
昊,5,34,16,4,140,494,70,763,763
數,1027,2006,1647,788,3028,6922,4441,19859,19859
法,532,1063,696,318,2038,7107,3110,14864,14864
授,59,197,322,171,2460,3391,2981,9581,9581
分,390,732,942,395,3187,7512,4471,17629,17629
仲,384,311,265,87,645,1947,571,4210,4210
夷,436,542,497,250,727,1061,526,4039,4039
暘,3,0,3,1,1,40,79,127,127
谷,114,239,334,129,494,378,564,2252,2252
出,1385,1664,1295,869,3490,10162,5917,24782,24782
程,56,54,96,64,296,891,536,1993,1993
殷,232,244,129,79,450,64,163,1361,1361
春,360,757,736,345,1255,2416,2379,8248,8248
析,16,36,28,2,133,223,159,597,597
字,123,239,663,415,804,3215,2746,8205,8205
申,342,324,295,85,1335,3373,1325,7079,7079
叔,424,242,187,91,561,559,316,2380,2380
致,241,373,419,226,1174,2678,1873,6984,6984
永,38,303,960,157,1362,2412,4078,9310,9310
夏,380,649,657,422,1173,2938,1874,8093,8093
因,829,899,1034,391,2334,3432,2157,11076,11076
希,23,42,40,19,719,4764,583,6190,6190
革,55,76,91,23,319,680,790,2034,2034
昧,43,55,29,14,113,80,65,399,399
入,1430,1544,1141,584,4495,11064,8849,29107,29107
夜,231,355,314,186,1058,1787,1041,4972,4972
虛,159,254,206,125,508,1081,539,2872,2872
秋,263,740,633,237,1072,1974,1561,6480,6480
易,320,707,424,248,1185,2926,1452,7262,7262
毛,49,72,66,42,195,271,466,1161,1161
毨,1,0,0,0,0,0,0,1,1
都,550,1226,983,772,5032,7127,7594,23284,23284
伏,174,354,412,148,1451,1169,1047,4755,4755
短,55,92,70,47,136,324,137,861,861
昴,10,18,17,2,48,253,30,378,378
冬,137,344,450,141,815,1561,1360,4808,4808
燠,1,3,6,3,2,17,7,39,39
氄,1,0,0,0,0,0,0,1,1
歲,763,1226,782,255,1426,5310,2744,12506,12506
六,2498,2251,1534,414,4631,10377,8897,30602,30602
閏,41,115,107,14,160,645,482,1564,1564
飭,12,38,4,1,19,237,243,554,554
衆,26,153,101,326,101,313,105,1125,1125
功,793,1073,842,555,2347,3365,3495,12470,12470
興,334,609,691,419,1538,6031,2483,12105,12105
誰,81,82,69,61,131,244,199,867,867
