Co-term,女,母,妻,婦,姊,妃,婢,姒,媼,嫗,嫂,姬,妾,尼,嬪,妹,乳母,夫人,女子,室女,少女,帝后,後母,玉女,王后,皇后,美人,美女,貴人,皇太后,王,子,公,侯,君,臣,兵,帝,士,父,孫,伯,皇,叔,辟,賓,男,昆,兒,宦,友,俠,翁,童,孽,舅,紳,官,卿,吏,師,兄,叟,婿,甥,儐,娣,哥,丈夫,世子,中尉,列侯,力士,勇士,匹夫,博士,叔父,史官,司寇,司徒,君子,大夫,大王,大理,大臣,天王,天皇,天子,太公,太后,太子,太守,子嗣,孝子,孽子,帝王,次子,武士,王子,男子,皇子,皇帝,秀才,童子,老父,兒子,伯父,士大夫,大丈夫,太史公,皇太子,Fem,Target,Total
Pinyin,f_nǚ,f_mǔ,f_qī,f_fù,f_zǐ,f_fēi,f_bì,f_sì,f_ǎo,f_yù,f_sǎo,f_jī,f_qiè,f_ní,f_pin,f_mèi,f_rǔmǔ,f_fūren,f_nǚzǐ,f_shìnǚ,f_shàonǚ,f_dìhòu,f_hòumǔ,f_yùnǚ,f_wánghòu,f_huánghòu,f_měirén,f_měinǚ,f_guiren,f_huángtàihòu,m_wáng,m_zǐ,m_gōng,m_hóu,m_jūn,m_chén,m_bīng,m_dì,m_shì,m_fù,m_sūn,m_bà,m_huáng,m_shū,m_bì,m_bīn,m_nán,m_kūn,m_ér,m_huàn,m_yǒu,m_xiá,m_wēng,m_tóng,m_niè,m_jiù,m_shēn,m_guān,m_qīng,m_lì,m_shī,m_xiōng,m_sǒu,m_xù,m_shēng,m_bīn,m_dì,m_gē,m_zhàngfu,m_shìzǐ,m_zhōngwèi,m_lièhóu,m_lìshì,m_yǒngshì,m_pǐfū,m_bóshì,m_shūfù,m_shǐguān,m_sīkòu,m_sītú,m_jūnzǐ,m_dàfū,m_dàwáng,m_dàlǐ,m_dàchén,m_tiānwáng,m_tiānhuáng,m_tiānzǐ,m_tàigōng,m_tàihòu,m_tàizǐ,m_tàishǒu,m_zǐsì,m_xiàozǐ,m_nièzǐ,m_dìwáng,m_cìzǐ,m_wǔshì,m_wángzǐ,m_nánzǐ,m_huángzǐ,m_huángdì,m_xiùcai,m_tóngzǐ,m_lǎofù,m_erzi,m_bófù,m_shìdàfū,m_dàzhàngfu,m_tàishǐgōng,m_huángtàizǐ,Count,Count,Count
黃,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,111,637
帝,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,111,717
居,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29,110,658
軒,1,1,1,1,1,1,1,1,1,,,1,1,1,1,,,1,1,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,,,1,1,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1,1,1,1,1,1,1,1,,,,,1,,1,1,23,92,373
轅,1,1,1,1,1,1,1,,,,,1,1,1,1,,,1,1,,,,1,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1,,1,,,1,1,,,1,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,1,,,1,1,1,1,,1,1,,,1,,1,1,18,81,306
之,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,111,757
丘,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,,1,1,1,1,1,27,105,506
而,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,111,745
娶,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,,1,1,,,1,1,1,1,1,1,,1,1,,1,1,1,,1,1,1,1,,1,1,1,1,1,1,,,1,1,1,,1,26,95,394
