Target,Pinyin,Co-term,01_shiji,02_hanshu,03_houhanshu,04_sanguozhi,06_jiutangshu,20_songshi,24_mingshi,Sum/Avg
女,f_nǚ,黃,4,13,19,2,13,50,21,122
女,f_nǚ,帝,42,81,58,12,54,64,40,351
女,f_nǚ,居,17,28,9,5,30,34,37,160
女,f_nǚ,軒,3,0,4,0,0,26,0,33
女,f_nǚ,轅,1,0,5,1,0,26,0,33
女,f_nǚ,之,233,316,237,98,428,579,394,2285
女,f_nǚ,而,113,104,92,19,104,139,100,671
女,f_nǚ,娶,24,2,15,10,35,56,21,163
女,f_nǚ,於,81,80,94,22,130,124,114,645
女,f_nǚ,西,17,15,11,0,27,99,36,205
女,f_nǚ,陵,13,22,10,4,9,12,2,72
女,f_nǚ,女,575,707,543,223,867,1321,1349,5585
女,f_nǚ,是,43,32,31,12,45,36,31,230
女,f_nǚ,爲,6,26,33,36,14,114,134,363
女,f_nǚ,祖,4,14,3,13,17,24,68,143
女,f_nǚ,昌,5,7,5,2,10,17,18,64
女,f_nǚ,意,8,12,6,3,4,10,6,49
女,f_nǚ,蜀,2,0,0,1,8,7,4,22
女,f_nǚ,山,6,39,10,3,21,24,41,144
女,f_nǚ,氏,47,47,30,11,83,63,145,426
女,f_nǚ,曰,104,154,46,24,78,156,148,710
女,f_nǚ,僕,1,1,6,3,11,10,7,39
女,f_nǚ,生,74,55,35,11,40,75,85,375
女,f_nǚ,高,16,34,5,2,46,33,29,165
女,f_nǚ,陽,14,42,42,9,36,31,26,200
女,f_nǚ,有,76,127,72,51,118,264,130,838
女,f_nǚ,聖,3,8,17,2,5,30,7,72
女,f_nǚ,焉,8,10,8,6,23,8,11,74
女,f_nǚ,陳,18,12,5,3,6,30,41,115
女,f_nǚ,放,1,6,4,0,19,15,6,51
女,f_nǚ,勳,2,3,2,0,1,6,0,14
女,f_nǚ,堯,7,1,3,0,3,10,3,27
女,f_nǚ,妻,40,54,58,29,107,95,159,542
女,f_nǚ,二,59,61,63,25,113,208,237,766
女,f_nǚ,觀,8,5,3,4,29,16,8,73
女,f_nǚ,其,144,155,98,61,215,270,271,1214
女,f_nǚ,德,9,26,14,3,45,48,25,170
女,f_nǚ,舜,10,5,1,1,1,2,1,21
女,f_nǚ,下,22,78,46,13,52,81,58,350
女,f_nǚ,如,16,16,13,9,23,89,35,201
女,f_nǚ,婦,35,45,52,19,34,80,189,454
女,f_nǚ,禮,6,13,12,9,33,35,39,147
女,f_nǚ,以,132,224,144,75,276,380,256,1487
女,f_nǚ,召,5,13,2,2,20,9,7,58
女,f_nǚ,謀,10,9,4,2,12,13,11,61
女,f_nǚ,事,25,45,18,11,34,79,77,289
女,f_nǚ,至,23,56,33,15,63,144,82,416
女,f_nǚ,言,22,43,18,12,28,54,65,242
女,f_nǚ,可,16,15,16,9,66,52,41,215
女,f_nǚ,績,6,5,1,2,1,0,0,15
女,f_nǚ,三,51,61,83,15,75,147,123,555
女,f_nǚ,年,34,63,80,19,79,130,132,537
女,f_nǚ,矣,12,11,3,2,11,28,18,85
