Target,Pinyin,Co-term,01_shiji,02_hanshu,03_houhanshu,04_sanguozhi,06_jiutangshu,20_songshi,24_mingshi,Sum/Avg, Slope
女,f_nǚ,黃,1,2,3,1,1,1,1,11,neutral
女,f_nǚ,帝,7,10,8,3,3,2,1,31,undef
女,f_nǚ,居,3,4,1,1,2,1,1,14,neutral
女,f_nǚ,軒,1,0,1,0,0,1,0,3,neutral
女,f_nǚ,轅,0,0,1,0,0,1,0,3,neutral
女,f_nǚ,之,40,41,34,26,22,14,14,203,down
女,f_nǚ,丘,1,0,0,0,0,0,0,1,neutral
女,f_nǚ,而,20,13,13,5,5,3,4,60,down
女,f_nǚ,娶,4,0,2,3,2,1,1,15,neutral
女,f_nǚ,於,14,10,14,6,7,3,4,57,down
女,f_nǚ,西,3,2,2,0,1,2,1,18,neutral
女,f_nǚ,陵,2,3,1,1,0,0,0,6,neutral
女,f_nǚ,女,100,91,79,58,44,33,48,497,down
女,f_nǚ,是,7,4,4,3,2,1,1,20,undef
女,f_nǚ,爲,1,3,5,9,1,3,5,32,neutral
女,f_nǚ,祖,1,2,0,3,1,1,2,13,neutral
女,f_nǚ,昌,1,1,1,1,1,0,1,6,neutral
女,f_nǚ,意,1,2,1,1,0,0,0,4,neutral
女,f_nǚ,山,1,5,1,1,1,1,1,13,neutral
女,f_nǚ,氏,8,6,4,3,4,2,5,38,undef
女,f_nǚ,曰,18,20,7,6,4,4,5,63,down
女,f_nǚ,僕,0,0,1,1,1,0,0,3,neutral
女,f_nǚ,生,13,7,5,3,2,2,3,33,down
女,f_nǚ,高,3,4,1,1,2,1,1,15,neutral
女,f_nǚ,陽,2,5,6,2,2,1,1,18,neutral
女,f_nǚ,有,13,16,10,13,6,7,5,75,down
女,f_nǚ,聖,1,1,2,1,0,1,0,6,neutral
女,f_nǚ,焉,1,1,1,2,1,0,0,7,neutral
女,f_nǚ,陳,3,2,1,1,0,1,1,10,neutral
女,f_nǚ,放,0,1,1,0,1,0,0,5,neutral
女,f_nǚ,堯,1,0,0,0,0,0,0,2,neutral
女,f_nǚ,妻,7,7,8,8,5,2,6,48,undef
女,f_nǚ,二,10,8,9,7,6,5,8,68,neutral
女,f_nǚ,觀,1,1,0,1,1,0,0,6,neutral
女,f_nǚ,其,25,20,14,16,11,7,10,108,down
女,f_nǚ,德,2,3,2,1,2,1,1,15,neutral
女,f_nǚ,舜,2,1,0,0,0,0,0,2,neutral
女,f_nǚ,下,4,10,7,3,3,2,2,31,undef
女,f_nǚ,如,3,2,2,2,1,2,1,18,neutral
女,f_nǚ,婦,6,6,8,5,2,2,7,40,neutral
女,f_nǚ,禮,1,2,2,2,2,1,1,13,neutral
女,f_nǚ,以,23,29,21,20,14,10,9,132,down
女,f_nǚ,召,1,2,0,1,1,0,0,5,neutral
女,f_nǚ,謀,2,1,1,1,1,0,0,5,neutral
女,f_nǚ,事,4,6,3,3,2,2,3,26,neutral
女,f_nǚ,至,4,7,5,4,3,4,3,37,neutral
女,f_nǚ,言,4,6,3,3,1,1,2,22,undef
女,f_nǚ,可,3,2,2,2,3,1,1,19,neutral
女,f_nǚ,績,1,1,0,1,0,0,0,1,neutral
女,f_nǚ,三,9,8,12,4,4,4,4,49,undef
女,f_nǚ,年,6,8,12,5,4,3,5,48,undef
女,f_nǚ,矣,2,1,0,1,1,1,1,8,neutral
女,f_nǚ,登,1,0,0,1,1,0,1,4,neutral
女,f_nǚ,位,1,2,2,1,1,1,0,8,neutral
女,f_nǚ,乃,8,6,4,4,2,1,1,23,undef
女,f_nǚ,內,3,5,2,1,2,1,1,18,neutral
女,f_nǚ,使,7,7,4,5,3,3,2,35,undef
女,f_nǚ,九,2,2,4,0,1,1,1,14,neutral
女,f_nǚ,男,10,14,11,15,5,1,4,51,down
女,f_nǚ,與,10,9,4,5,4,2,2,37,undef
女,f_nǚ,處,1,1,1,1,1,0,0,5,neutral
女,f_nǚ,外,3,3,2,1,2,1,1,16,neutral
女,f_nǚ,不,22,23,15,13,6,6,8,93,down
女,f_nǚ,敢,1,1,1,0,0,0,0,5,neutral
女,f_nǚ,貴,3,3,3,1,1,1,0,12,neutral
女,f_nǚ,驕,1,1,0,0,0,0,0,2,neutral
女,f_nǚ,親,1,3,1,2,1,1,1,12,neutral
女,f_nǚ,戚,0,1,1,0,0,0,0,3,neutral
女,f_nǚ,甚,1,1,1,1,1,1,1,8,neutral
女,f_nǚ,道,1,3,3,2,3,1,1,17,neutral
女,f_nǚ,象,1,1,1,1,0,0,0,3,neutral
女,f_nǚ,父,3,3,3,3,2,1,3,22,neutral
女,f_nǚ,母,7,3,4,3,2,1,5,29,neutral
女,f_nǚ,分,1,1,3,1,1,1,1,11,neutral
女,f_nǚ,琴,1,0,0,0,0,0,0,1,neutral
女,f_nǚ,取,7,5,2,2,1,1,1,16,undef
女,f_nǚ,牛,1,4,1,2,1,1,1,11,neutral
女,f_nǚ,羊,0,0,1,0,0,0,0,2,neutral
女,f_nǚ,倉,1,0,0,1,0,0,0,1,neutral
女,f_nǚ,予,4,1,0,1,0,0,0,4,neutral
女,f_nǚ,十,11,8,22,6,6,7,7,78,undef
女,f_nǚ,人,23,20,19,13,14,8,13,126,down
女,f_nǚ,敬,1,1,1,0,1,0,0,4,neutral
女,f_nǚ,哉,1,0,0,1,0,0,0,2,neutral
女,f_nǚ,惟,0,1,1,1,1,1,0,6,neutral
女,f_nǚ,時,5,6,4,3,4,2,2,27,undef
女,f_nǚ,相,4,6,4,4,2,2,1,21,undef
女,f_nǚ,天,3,9,4,3,3,3,2,32,undef
女,f_nǚ,命,2,2,2,1,1,1,2,15,neutral
女,f_nǚ,禹,1,1,0,0,0,0,0,2,neutral
女,f_nǚ,平,5,6,2,2,2,1,1,17,undef
女,f_nǚ,水,1,1,1,1,0,1,1,9,neutral
女,f_nǚ,土,1,1,0,1,0,1,2,9,neutral
女,f_nǚ,維,1,0,0,0,0,0,0,1,neutral
女,f_nǚ,往,1,1,0,1,1,0,0,5,neutral
女,f_nǚ,視,1,1,1,0,0,0,1,5,neutral
女,f_nǚ,致,1,1,1,1,1,0,0,5,neutral
女,f_nǚ,行,2,3,3,2,2,2,2,21,neutral
女,f_nǚ,謂,3,2,2,2,1,1,1,11,neutral
女,f_nǚ,亦,3,2,1,2,1,1,1,15,neutral
女,f_nǚ,欲,5,8,3,3,1,1,1,16,undef
女,f_nǚ,左,1,2,1,1,1,1,0,10,neutral
女,f_nǚ,右,1,2,1,1,1,1,0,9,neutral
女,f_nǚ,民,3,8,2,3,0,2,3,23,neutral
女,f_nǚ,輔,0,1,0,1,0,0,0,2,neutral
女,f_nǚ,余,2,0,0,0,1,0,0,4,neutral
女,f_nǚ,古,0,1,0,1,0,0,1,5,neutral
女,f_nǚ,日,4,5,2,2,2,2,2,23,neutral
女,f_nǚ,月,2,4,3,3,2,3,2,26,neutral
女,f_nǚ,星,1,2,2,0,0,5,0,23,neutral
女,f_nǚ,辰,1,0,0,0,0,0,0,3,neutral
女,f_nǚ,作,1,2,2,2,0,0,1,8,neutral
女,f_nǚ,文,3,3,1,2,2,1,2,15,neutral
女,f_nǚ,繡,1,1,0,1,0,0,0,3,neutral
女,f_nǚ,服,1,1,2,1,1,1,2,12,neutral
女,f_nǚ,色,1,1,1,1,1,2,0,11,neutral
女,f_nǚ,明,1,2,1,1,1,2,1,14,neutral
女,f_nǚ,聞,2,3,3,2,1,1,1,14,neutral
女,f_nǚ,六,2,3,6,1,2,2,2,23,neutral
女,f_nǚ,律,0,1,0,0,0,0,0,2,neutral
女,f_nǚ,五,7,8,8,1,4,2,2,35,undef
女,f_nǚ,聲,1,1,1,1,0,0,0,5,neutral
女,f_nǚ,八,2,2,4,2,1,1,2,17,neutral
女,f_nǚ,音,1,1,0,0,0,0,0,2,neutral
女,f_nǚ,來,3,1,1,1,2,1,1,11,neutral
女,f_nǚ,始,1,3,1,1,1,0,0,6,neutral
女,f_nǚ,出,3,4,4,1,3,4,3,33,neutral
女,f_nǚ,入,7,7,3,3,3,3,2,32,undef
女,f_nǚ,聽,1,1,1,1,0,0,0,4,neutral
女,f_nǚ,即,2,3,1,1,1,1,2,13,neutral
