Target,Pinyin,Co-term,01_shiji,02_hanshu,03_houhanshu,04_sanguozhi,06_jiutangshu,20_songshi,24_mingshi,Sum/Avg, Slope
女,f_nǚ,之,40,41,34,26,22,14,14,203,down
女,f_nǚ,而,20,13,13,5,5,3,4,60,down
女,f_nǚ,於,14,10,14,6,7,3,4,57,down
女,f_nǚ,女,100,91,79,58,44,33,48,497,down
女,f_nǚ,曰,18,20,7,6,4,4,5,63,down
女,f_nǚ,生,13,7,5,3,2,2,3,33,down
女,f_nǚ,有,13,16,10,13,6,7,5,75,down
女,f_nǚ,其,25,20,14,16,11,7,10,108,down
女,f_nǚ,以,23,29,21,20,14,10,9,132,down
女,f_nǚ,男,10,14,11,15,5,1,4,51,down
女,f_nǚ,不,22,23,15,13,6,6,8,93,down
女,f_nǚ,人,23,20,19,13,14,8,13,126,down
女,f_nǚ,也,13,11,7,9,3,3,3,47,down
女,f_nǚ,后,13,15,5,3,2,2,2,34,down
女,f_nǚ,子,36,31,18,15,10,7,10,122,down
女,f_nǚ,為,35,32,19,10,15,6,6,118,down
女,f_nǚ,王,24,20,8,10,8,3,4,69,down
女,f_nǚ,公,21,12,11,5,8,2,2,52,down
女,f_nǚ,太,17,12,4,8,5,3,2,47,down
母,f_mǔ,之,28,35,36,20,42,18,19,254,down
母,f_mǔ,曰,20,14,16,15,8,7,8,92,down
母,f_mǔ,母,70,75,92,61,54,50,70,613,down
母,f_mǔ,也,18,14,6,10,10,4,4,67,down
母,f_mǔ,后,12,29,9,8,7,5,6,78,down
母,f_mǔ,子,35,28,19,11,13,9,12,135,down
母,f_mǔ,為,21,26,25,12,16,12,10,143,down
母,f_mǔ,侯,7,12,4,2,0,0,0,17,down
母,f_mǔ,王,26,25,14,5,8,3,6,84,down
母,f_mǔ,公,14,4,4,3,4,2,1,30,down
母,f_mǔ,太,14,29,10,9,8,6,6,87,down
母,f_mǔ,弟,11,9,11,3,4,2,4,45,down
妻,f_qī,妻,30,40,61,46,30,18,37,309,down
姊,f_zǐ,姊,10,13,5,5,4,1,2,34,down
妃,f_fēi,貴,0,0,1,1,3,4,11,47,up
妃,f_fēi,妃,5,8,6,13,21,16,40,209,up
妃,f_fēi,王,1,2,2,4,11,2,15,70,up
妃,f_fēi,皇,1,2,0,2,6,6,12,64,up
姬,f_jī,之,13,6,6,9,1,1,1,24,down
姬,f_jī,子,20,8,2,4,0,0,0,20,down
姬,f_jī,為,11,7,4,2,0,0,0,15,down
姬,f_jī,王,13,14,3,8,0,0,1,24,down
姬,f_jī,公,13,3,2,3,0,0,0,13,down
姬,f_jī,姬,40,23,10,10,2,3,2,62,down
妾,f_qiè,之,13,11,6,9,4,3,3,47,down
妾,f_qiè,妾,21,17,11,10,6,4,10,83,down
夫人,f_fūren,之,14,9,5,12,4,2,1,37,down
夫人,f_fūren,曰,9,8,5,5,2,1,1,23,down
夫人,f_fūren,以,11,10,4,6,2,1,1,27,down
夫人,f_fūren,人,47,37,16,35,9,9,5,134,down
夫人,f_fūren,子,21,8,1,7,1,1,1,28,down
夫人,f_fūren,為,17,12,5,8,3,3,1,41,down
夫人,f_fūren,王,15,11,3,10,1,3,2,36,down
夫人,f_fūren,公,17,5,2,5,1,0,0,19,down
夫人,f_fūren,夫,42,34,14,31,8,8,5,120,down
女子,f_nǚzǐ,女,8,10,7,2,2,1,1,24,down
女子,f_nǚzǐ,子,9,12,8,3,2,1,1,28,down
王后,f_wánghòu,后,15,6,1,3,1,0,0,17,down
王后,f_wánghòu,王,21,9,2,4,2,1,0,26,down
皇后,f_huánghòu,為,7,17,15,8,10,5,3,73,down
貴人,f_guiren,貴,11,11,31,4,2,3,1,49,down
貴人,f_guiren,人,12,13,36,5,2,3,1,57,down
王,m_wáng,帝,64,98,54,51,26,19,29,339,down
王,m_wáng,居,26,28,10,10,8,8,9,106,down
王,m_wáng,之,551,325,162,202,172,102,90,1567,down
王,m_wáng,而,263,130,56,49,41,26,33,523,down
王,m_wáng,於,188,90,63,55,58,30,32,506,down
王,m_wáng,西,51,36,18,13,16,14,17,187,down
王,m_wáng,陵,25,24,20,10,8,4,5,85,down
王,m_wáng,女,20,18,8,8,7,3,4,61,down
王,m_wáng,是,94,55,28,21,18,11,12,211,down
王,m_wáng,爲,5,31,13,60,5,12,2,108,down
王,m_wáng,昌,11,23,2,7,6,5,8,74,down
王,m_wáng,意,17,17,4,5,3,4,3,53,down
王,m_wáng,山,40,41,19,10,13,7,20,163,down
王,m_wáng,氏,24,30,12,8,14,8,9,118,down
王,m_wáng,曰,227,120,50,64,34,25,25,463,down
王,m_wáng,生,30,26,11,14,11,6,9,109,down
王,m_wáng,高,38,36,10,11,19,7,12,144,down
王,m_wáng,陽,68,70,36,25,18,8,14,208,down
王,m_wáng,有,99,86,44,61,38,27,28,392,down
王,m_wáng,焉,13,11,11,8,5,2,2,46,down
王,m_wáng,陳,49,24,15,14,10,8,13,137,down
王,m_wáng,二,120,93,36,33,40,32,62,500,down
王,m_wáng,其,172,120,61,62,66,38,49,608,down
王,m_wáng,下,102,82,39,31,36,21,21,334,down
王,m_wáng,如,43,24,6,10,10,7,10,116,down
王,m_wáng,以,358,264,111,133,120,85,70,1171,down
王,m_wáng,召,28,12,5,3,5,5,7,72,down
王,m_wáng,謀,25,26,13,8,9,3,6,83,down
王,m_wáng,事,63,49,23,26,37,37,39,384,down
王,m_wáng,至,70,60,26,25,22,19,21,260,down
王,m_wáng,言,55,45,15,16,16,25,26,257,down
王,m_wáng,可,42,24,11,18,19,11,12,154,down
王,m_wáng,三,115,81,31,28,40,36,52,472,down
王,m_wáng,年,209,155,63,52,49,32,112,752,down
王,m_wáng,矣,40,16,7,5,6,4,4,72,down
王,m_wáng,位,16,36,12,26,9,7,8,109,down
王,m_wáng,乃,122,47,30,16,16,7,13,204,down
王,m_wáng,內,22,21,10,16,13,9,7,108,down
王,m_wáng,使,139,72,32,32,63,55,24,519,down
王,m_wáng,九,32,23,10,8,12,8,16,130,down
王,m_wáng,與,137,85,45,42,32,20,26,364,down
王,m_wáng,不,262,169,77,81,59,44,49,711,down
王,m_wáng,敢,23,10,3,3,3,2,2,41,down
王,m_wáng,甚,14,12,3,5,5,3,3,45,down
王,m_wáng,道,28,36,17,12,27,14,14,185,down
王,m_wáng,父,31,21,12,6,10,5,6,89,down
王,m_wáng,母,19,21,12,5,6,3,5,68,down
王,m_wáng,取,27,11,4,4,4,5,3,55,down
王,m_wáng,十,186,108,49,29,53,39,87,661,down
王,m_wáng,人,164,117,75,52,55,41,47,589,down
王,m_wáng,敬,10,15,6,5,10,0,5,51,down
王,m_wáng,時,43,53,34,27,26,14,26,249,down
王,m_wáng,相,83,57,16,21,23,15,10,218,down
王,m_wáng,天,90,77,34,30,35,18,21,310,down
王,m_wáng,平,56,50,34,22,26,18,15,238,down
王,m_wáng,往,21,10,5,7,5,3,6,55,down
王,m_wáng,行,37,32,13,17,26,15,15,193,down
王,m_wáng,謂,29,15,6,11,9,8,5,89,down
王,m_wáng,亦,30,21,8,11,8,7,15,113,down
王,m_wáng,欲,78,45,18,20,8,6,7,142,down
王,m_wáng,左,21,25,13,7,20,10,10,134,down
王,m_wáng,右,27,23,9,8,18,9,9,124,down
王,m_wáng,民,18,29,6,13,1,9,10,95,down
王,m_wáng,日,25,22,12,7,16,13,11,139,down
王,m_wáng,月,46,59,36,36,35,25,27,318,down
王,m_wáng,作,17,16,8,6,5,6,2,62,down
王,m_wáng,文,49,35,14,48,27,20,25,256,down
王,m_wáng,明,22,35,15,23,15,12,16,162,down
王,m_wáng,聞,57,32,15,10,10,6,7,119,down
王,m_wáng,六,50,36,15,15,14,13,20,186,down
王,m_wáng,五,64,62,29,20,25,21,25,283,down
王,m_wáng,八,29,27,11,9,12,9,18,143,down
王,m_wáng,來,32,17,11,12,11,9,12,121,down
王,m_wáng,始,26,31,15,6,5,5,5,84,down
王,m_wáng,出,45,28,13,13,13,13,11,153,down
王,m_wáng,入,61,33,14,10,13,12,18,176,down
王,m_wáng,聽,28,10,2,3,2,2,3,40,down
王,m_wáng,即,32,26,9,19,7,7,7,104,down
王,m_wáng,無,64,34,24,22,22,10,12,186,down
王,m_wáng,吾,25,13,6,6,5,2,2,47,down
王,m_wáng,功,29,24,9,12,11,6,7,100,down
王,m_wáng,也,146,93,34,57,33,16,16,335,down
王,m_wáng,后,65,67,15,16,10,6,5,144,down
王,m_wáng,子,297,231,80,55,76,35,121,944,down
王,m_wáng,告,19,11,4,2,4,3,4,50,down
王,m_wáng,威,18,10,9,8,8,2,3,51,down
王,m_wáng,用,40,20,5,10,12,14,12,141,down
王,m_wáng,絕,15,24,4,2,3,1,2,41,down
王,m_wáng,攻,35,11,13,7,5,3,5,66,down
王,m_wáng,于,34,40,12,5,10,1,1,77,down
王,m_wáng,共,29,32,14,4,2,1,2,60,down
王,m_wáng,非,27,24,8,14,8,6,4,87,down
王,m_wáng,則,35,23,13,16,19,11,11,147,down
