Target,Pinyin,Co-term,01_shiji,02_hanshu,03_houhanshu,04_sanguozhi,06_jiutangshu,20_songshi,24_mingshi,Sum/Avg, Slope
女,f_nǚ,帝,37,56,37,23,20,9,20,208,down
女,f_nǚ,居,22,18,10,11,9,4,10,90,down
女,f_nǚ,之,268,247,212,205,194,70,92,1333,down
女,f_nǚ,而,129,92,75,62,54,19,28,432,down
女,f_nǚ,於,91,61,74,57,71,20,31,429,down
女,f_nǚ,陵,9,19,10,14,7,2,2,51,down
女,f_nǚ,女,100,91,79,58,44,33,48,497,down
女,f_nǚ,是,52,36,26,25,27,7,11,176,down
女,f_nǚ,生,38,28,23,17,11,7,12,133,down
女,f_nǚ,子,145,103,67,61,62,24,39,503,down
女,f_nǚ,其,110,98,78,103,85,31,51,596,down
女,f_nǚ,後,33,42,43,37,24,10,14,199,down
女,f_nǚ,皆,28,38,29,36,21,8,17,179,down
女,f_nǚ,有,70,81,66,83,56,42,34,495,down
女,f_nǚ,天,41,62,35,21,33,26,17,285,down
女,f_nǚ,下,42,67,44,32,37,14,21,274,down
女,f_nǚ,曰,131,99,51,54,46,25,27,422,down
女,f_nǚ,陽,16,25,20,16,13,4,7,97,down
女,f_nǚ,氏,24,21,16,11,12,4,15,115,down
女,f_nǚ,高,17,19,10,7,24,4,5,99,down
女,f_nǚ,孫,14,17,6,16,7,3,7,68,down
女,f_nǚ,立,37,34,15,14,11,5,8,113,down
女,f_nǚ,也,85,86,47,67,35,12,18,305,down
女,f_nǚ,不,150,159,119,119,85,37,56,720,down
女,f_nǚ,弟,19,19,17,14,9,2,7,81,down
女,f_nǚ,在,16,27,18,23,19,9,8,132,down
女,f_nǚ,十,56,55,51,34,52,34,50,447,down
女,f_nǚ,能,22,20,18,20,12,4,7,97,down
女,f_nǚ,貴,11,12,15,5,7,5,4,64,down
女,f_nǚ,及,24,34,24,18,36,9,22,209,down
女,f_nǚ,者,77,86,58,62,39,21,40,401,down
女,f_nǚ,言,31,39,24,25,19,10,18,179,down
女,f_nǚ,民,17,32,8,21,2,12,16,128,down
女,f_nǚ,然,21,17,12,13,10,4,6,80,down
女,f_nǚ,聞,23,21,16,15,13,5,9,106,down
女,f_nǚ,何,20,19,15,14,12,3,6,87,down
女,f_nǚ,父,18,18,14,12,14,4,11,100,down
女,f_nǚ,母,19,17,15,11,11,4,13,100,down
女,f_nǚ,以,147,166,122,152,117,47,62,846,down
女,f_nǚ,孝,9,18,7,4,9,2,5,59,down
女,f_nǚ,至,35,47,32,29,35,27,22,293,down
女,f_nǚ,吾,17,9,8,6,6,2,5,53,down
女,f_nǚ,乃,50,33,31,20,20,5,12,156,down
女,f_nǚ,使,52,45,25,35,43,19,18,274,down
女,f_nǚ,五,30,41,26,21,29,16,20,225,down
女,f_nǚ,從,24,20,20,21,20,6,15,141,down
女,f_nǚ,百,21,33,17,19,29,7,13,160,down
女,f_nǚ,官,7,17,15,12,26,14,32,205,up
女,f_nǚ,時,25,35,27,32,28,7,15,178,down
女,f_nǚ,諸,29,29,17,24,17,8,17,154,down
女,f_nǚ,侯,49,46,24,24,3,2,4,103,down
女,f_nǚ,行,27,29,24,16,25,20,14,203,down
女,f_nǚ,事,29,39,28,27,35,14,25,242,down
女,f_nǚ,可,28,30,18,22,23,7,12,150,down
女,f_nǚ,三,46,47,37,27,40,22,31,312,down
女,f_nǚ,矣,21,15,10,12,7,3,5,71,down
女,f_nǚ,月,14,30,20,22,42,49,22,349,up
女,f_nǚ,上,35,66,29,17,31,15,15,229,down
女,f_nǚ,日,18,34,21,13,26,12,17,181,down
女,f_nǚ,大,51,78,47,54,62,28,31,414,down
女,f_nǚ,男,15,19,14,18,8,2,5,71,down
女,f_nǚ,與,52,50,30,39,35,12,17,240,down
女,f_nǚ,道,15,22,20,11,21,8,8,124,down
女,f_nǚ,人,111,116,89,86,85,33,56,630,down
女,f_nǚ,所,36,45,38,52,41,13,22,263,down
女,f_nǚ,成,17,23,12,7,11,4,11,97,down
女,f_nǚ,邑,9,9,6,9,4,1,1,30,down
女,f_nǚ,予,11,7,0,1,1,1,1,18,down
女,f_nǚ,復,15,22,19,16,14,7,12,119,down
女,f_nǚ,欲,38,36,19,22,9,4,6,109,down
女,f_nǚ,殺,24,21,17,17,11,4,10,101,down
女,f_nǚ,自,30,38,34,37,32,10,19,216,down
女,f_nǚ,得,42,39,26,27,18,8,12,165,down
女,f_nǚ,死,25,27,22,20,12,8,27,170,down
女,f_nǚ,取,15,12,6,11,7,3,5,59,down
女,f_nǚ,宮,19,26,19,11,16,8,11,129,down
女,f_nǚ,見,26,26,22,21,15,6,8,118,down
女,f_nǚ,我,19,12,9,5,8,2,5,59,down
女,f_nǚ,于,17,26,3,4,8,0,0,45,down
女,f_nǚ,知,23,22,13,12,18,11,13,146,down
女,f_nǚ,足,11,11,6,6,5,1,3,39,down
女,f_nǚ,歸,17,14,11,10,11,5,9,88,down
女,f_nǚ,后,38,53,21,9,10,7,10,140,down
女,f_nǚ,伯,15,6,7,3,3,1,3,33,down
女,f_nǚ,耳,15,8,5,7,4,1,2,33,down
女,f_nǚ,則,25,22,22,20,18,12,9,147,down
女,f_nǚ,謂,14,19,15,13,14,4,5,84,down
女,f_nǚ,相,38,40,24,26,20,9,8,157,down
女,f_nǚ,司,5,14,10,9,24,8,18,137,up
女,f_nǚ,平,22,24,15,15,17,6,10,119,down
女,f_nǚ,賊,2,5,8,11,14,4,20,102,up
女,f_nǚ,作,10,13,12,18,8,2,3,59,down
女,f_nǚ,臣,39,46,26,18,25,13,15,201,down
女,f_nǚ,遂,19,15,21,18,14,4,11,104,down
女,f_nǚ,宗,6,14,12,7,47,14,13,187,up
女,f_nǚ,樂,16,19,7,8,13,3,9,87,down
