Target,target_abs_freq, target_rel_freq*100, ref_abs_freq, ref_rel_freq*100, CHI2
黃,122,0.13,10418,0.12,2476.21
帝,351,0.37,31553,0.36,1357.83
居,160,0.17,12627,0.14,5785.6
軒,33,0.03,721,0.01,26134.46
轅,33,0.03,566,0.01,31280.95
丘,13,0.01,2384,0.03,7499.27
娶,163,0.17,265,0.0,220637.63
西,205,0.22,28717,0.33,17918.08
陵,72,0.08,8048,0.09,4861.55
女,5585,5.9,1,0.0,2130813.71
爲,363,0.38,11935,0.14,60049.27
祖,143,0.15,13591,0.16,1102.77
昌,64,0.07,6927,0.08,3817.38
意,49,0.05,7721,0.09,11262.57
蜀,22,0.02,3217,0.04,6472.76
山,144,0.15,19974,0.23,14651.26
氏,426,0.45,7950,0.09,105857.89
僕,39,0.04,3346,0.04,1312.95
生,375,0.4,13225,0.15,56616.81
高,165,0.17,13781,0.16,3722.08
陽,200,0.21,18385,0.21,90.24
聖,72,0.08,7574,0.09,3331.76
焉,74,0.08,6752,0.08,244.08
陳,115,0.12,12114,0.14,4255.54
鋒,6,0.01,1023,0.01,4536.49
放,51,0.05,1826,0.02,20516.79
勳,14,0.01,1647,0.02,2712.8
堯,27,0.03,1519,0.02,7621.23
妻,542,0.57,2934,0.03,246706.68
觀,73,0.08,9714,0.11,9354.15
德,170,0.18,20783,0.24,10962.19
舜,21,0.02,1246,0.01,5986.49
婦,454,0.48,1809,0.02,260317.07
禮,147,0.16,19343,0.22,12871.53
召,58,0.06,9343,0.11,12771.79
謀,61,0.06,5821,0.07,813.09
事,289,0.31,51329,0.59,33746.52
言,242,0.26,35294,0.4,21382.29
績,15,0.02,1027,0.01,3401.78
年,537,0.57,96596,1.11,47048.27
登,43,0.05,4725,0.05,3423.18
位,94,0.1,10742,0.12,6193.82
內,201,0.21,16058,0.18,5972.4
男,570,0.6,1163,0.01,381704.64
與,412,0.43,36953,0.42,1607.25
處,53,0.06,5579,0.06,2872.52
外,181,0.19,15057,0.17,4057.75
敢,51,0.05,5911,0.07,4861.48
貴,133,0.14,6093,0.07,24163.23
驕,19,0.02,980,0.01,7542.13
親,139,0.15,8983,0.1,12389.55
戚,29,0.03,1544,0.02,8798.09
道,195,0.21,21819,0.25,8049.55
象,39,0.04,3189,0.04,2199.71
父,250,0.26,9719,0.11,41278.59
母,325,0.34,6560,0.08,87222.87
分,123,0.13,17507,0.2,14406.78
