Target,target_abs_freq, target_rel_freq*100, ref_abs_freq, ref_rel_freq*100, CHI2
堯,5,0.01,1541,0.02,1303.27
女,581,1.67,5005,0.06,355051.66
妻,129,0.37,3347,0.04,92844.59
觀,53,0.15,9734,0.11,6964.74
內,61,0.18,16198,0.18,1095.09
男,1732,4.99,1,0.0,1966737.27
與,120,0.35,37245,0.42,6627.81
處,25,0.07,5607,0.06,1803.75
外,42,0.12,15196,0.17,6896.53
益,9,0.03,7742,0.09,11583.59
篤,18,0.05,910,0.01,22355.54
太,203,0.59,47826,0.54,3066.17
史,105,0.3,26272,0.3,371.7
公,165,0.48,24827,0.28,20054.82
禹,9,0.03,1462,0.02,3978.33
爲,51,0.15,12247,0.14,1129.22
姓,19,0.05,3924,0.04,2640.9
後,93,0.27,29282,0.33,6245.46
分,37,0.11,17593,0.2,11566.47
封,216,0.62,18205,0.21,50244.87
國,223,0.64,32091,0.37,25368.19
夏,34,0.1,8060,0.09,1144.93
后,53,0.15,9419,0.11,7683.8
氏,74,0.21,8302,0.09,21300.09
尋,18,0.05,5297,0.06,1889.28
城,113,0.33,21420,0.24,9169.26
辛,16,0.05,5770,0.07,4214.8
戈,5,0.01,539,0.01,5820.36
大,293,0.84,66690,0.76,5444.95
聚,12,0.03,2183,0.02,3411.72
樂,43,0.12,10822,0.12,124.12
沙,10,0.03,2523,0.03,36.56
丘,13,0.04,2384,0.03,3464.16
酒,18,0.05,4153,0.05,1173.84
為,480,1.38,107181,1.22,8238.15
池,5,0.01,1936,0.02,2836.46
縣,252,0.73,20253,0.23,56853.64
肉,6,0.02,867,0.01,4122.71
林,25,0.07,6957,0.08,1396.07
裸,10,0.03,64,0.0,53558.36
逐,11,0.03,2014,0.02,3202.44
長,190,0.55,17823,0.2,42175.22
夜,15,0.04,4958,0.06,3067.15
飲,15,0.04,1975,0.02,7632.39
莊,10,0.03,2469,0.03,239.38
居,42,0.12,12745,0.15,3479.69
西,41,0.12,28881,0.33,20329.6
犬,5,0.01,452,0.01,7109.7
生,242,0.7,13358,0.15,76768.52
子,722,2.08,60386,0.69,92788.35
人,554,1.6,79969,0.91,39871.58
世,25,0.07,13523,0.15,11537.77
父,48,0.14,9921,0.11,4182.89
武,73,0.21,22664,0.26,5172.57
初,54,0.16,16743,0.19,4418.29
令,108,0.31,24289,0.28,3668.02
書,134,0.39,35304,0.4,1354.58
年,287,0.83,96846,1.1,14542.43
貴,35,0.1,6191,0.07,6326.39
賤,7,0.02,891,0.01,5492.85
明,53,0.15,20786,0.24,9528.13
禮,68,0.2,19422,0.22,2942.11
順,17,0.05,6030,0.07,4139.02
慎,7,0.02,1829,0.02,243.92
遵,5,0.01,1724,0.02,2053.76
職,13,0.04,7376,0.08,8868.38
事,102,0.29,51516,0.59,21155.76
請,38,0.11,18894,0.22,12585.0
戒,6,0.02,2140,0.02,2499.05
童,22,0.06,831,0.01,30296.19
求,29,0.08,8117,0.09,1596.35
遣,56,0.16,15632,0.18,2159.31
徐,32,0.09,4499,0.05,10000.07
市,12,0.03,3907,0.04,2586.78
發,46,0.13,9096,0.1,4989.6
數,94,0.27,19766,0.22,5359.62
千,143,0.41,22427,0.26,17154.98
海,36,0.1,8957,0.1,317.55
修,24,0.07,8436,0.1,4784.69
業,13,0.04,4221,0.05,2662.9
序,5,0.01,1536,0.02,1281.61
防,9,0.03,3355,0.04,3460.84
禁,16,0.05,5179,0.06,2917.32
止,20,0.06,6166,0.07,2611.55
淫,17,0.05,841,0.01,22075.38
誠,11,0.03,4143,0.05,3929.6
夫,167,0.48,15507,0.18,39970.74
殺,71,0.2,10608,0.12,13326.69
無,145,0.42,30015,0.34,7224.19
罪,33,0.1,10433,0.12,3786.52
義,37,0.11,11509,0.13,3714.54
程,6,0.02,1988,0.02,1957.23
日,73,0.21,30627,0.35,12949.39
降,32,0.09,9733,0.11,3075.85
項,5,0.01,1683,0.02,1892.3
王,497,1.43,55721,0.63,55398.51
怒,11,0.03,4404,0.05,4544.94
悉,24,0.07,4922,0.06,3070.58
詣,26,0.07,3427,0.04,10032.36
東,80,0.23,29926,0.34,10427.96
欲,35,0.1,13863,0.16,7917.86
兩,31,0.09,8916,0.1,2100.52
見,38,0.11,15860,0.18,9236.6
孝,65,0.19,8657,0.1,15606.75
惠,15,0.04,3555,0.04,763.13
高,71,0.2,13875,0.16,6497.18
帝,93,0.27,31811,0.36,8640.7
庶,23,0.07,5142,0.06,1775.51
齊,20,0.06,6766,0.08,3853.25
悼,6,0.02,965,0.01,3322.23
肥,9,0.03,502,0.01,14674.88
次,35,0.1,7065,0.08,3988.08
呂,13,0.04,4017,0.05,2129.62
戚,8,0.02,1565,0.02,2170.65
趙,37,0.11,7922,0.09,3033.56
意,14,0.04,7756,0.09,8916.78
代,28,0.08,8280,0.09,2433.42
立,57,0.16,16123,0.18,2475.36
文,74,0.21,25857,0.29,8256.19
薄,6,0.02,1901,0.02,1629.55
梁,23,0.07,4626,0.05,3284.03
時,73,0.21,29887,0.34,12308.61
徙,7,0.02,4817,0.05,8180.97
共,21,0.06,3828,0.04,4485.84
淮,23,0.07,7037,0.08,2691.62
陽,123,0.35,18462,0.21,17392.31
友,13,0.04,2491,0.03,2990.27
幽,8,0.02,1734,0.02,1306.99
南,61,0.18,35373,0.4,19790.4
厲,5,0.01,1355,0.02,448.23
燕,12,0.03,3385,0.04,1106.67
建,59,0.17,11796,0.13,5398.86
祖,29,0.08,13705,0.16,10134.97
兄,24,0.07,3697,0.04,7288.25
異,22,0.06,5726,0.07,378.48
母,63,0.18,6822,0.08,20552.83
餘,143,0.41,17457,0.2,26419.33
弟,72,0.21,7123,0.08,24460.25
姬,38,0.11,664,0.01,63116.61
諸,90,0.26,25019,0.28,2622.07
遂,42,0.12,15771,0.18,7624.28
部,109,0.31,27217,0.31,442.26
捕,18,0.05,2196,0.02,9373.49
少,50,0.14,12351,0.14,525.37
斬,45,0.13,4929,0.06,17121.53
倉,8,0.02,2595,0.03,2080.49
將,113,0.33,36123,0.41,7369.35
行,60,0.17,30312,0.35,16212.93
會,31,0.09,10953,0.12,5525.32
急,8,0.02,4211,0.05,6278.25
帶,12,0.03,2776,0.03,931.18
過,27,0.08,6854,0.08,34.4
寸,11,0.03,1933,0.02,3611.33
毋,11,0.03,2393,0.03,1496.54
布,26,0.07,4546,0.05,5630.07
車,22,0.06,5561,0.06,28.2
兵,102,0.29,37140,0.42,10955.0
器,13,0.04,4063,0.05,2252.06
民,190,0.55,19426,0.22,38280.68
哭,9,0.03,1189,0.01,5880.32
臨,27,0.08,6216,0.07,1471.27
宮,29,0.08,12244,0.14,8257.61
殿,26,0.07,11579,0.13,8656.05
前,49,0.14,14252,0.16,2875.2
竇,7,0.02,1128,0.01,3573.02
幸,30,0.09,5338,0.06,5759.57
死,110,0.32,17171,0.2,15190.85
更,24,0.07,5618,0.06,1145.34
景,28,0.08,6681,0.08,936.75
傅,9,0.03,3616,0.04,4143.11
周,38,0.11,10487,0.12,1569.18
侯,90,0.26,16941,0.19,8380.13
伯,78,0.22,6466,0.07,30670.39
衛,74,0.21,11724,0.13,12067.47
嫁,33,0.1,602,0.01,57442.85
家,73,0.21,14192,0.16,6720.68
皇,83,0.24,15627,0.18,8040.7
孫,46,0.13,8918,0.1,5389.87
配,14,0.04,2540,0.03,3715.32
絕,8,0.02,4359,0.05,6589.05
聞,35,0.1,14189,0.16,8337.25
聲,8,0.02,4551,0.05,6979.67
問,20,0.06,7400,0.08,5059.18
歲,72,0.21,12435,0.14,9687.75
元,105,0.3,33476,0.38,7020.66
康,13,0.04,4491,0.05,3332.86
中,228,0.66,57726,0.66,18.01
詔,59,0.17,23239,0.26,10155.09
徵,5,0.01,2478,0.03,4538.03
戶,119,0.34,12259,0.14,30015.2
善,17,0.05,10049,0.11,10688.44
化,33,0.1,6102,0.07,5377.88
路,18,0.05,9419,0.11,9340.8
耕,22,0.06,1245,0.01,22688.4
讓,16,0.05,1937,0.02,8934.5
賜,128,0.37,12265,0.14,33810.97
黃,35,0.1,10505,0.12,2982.83
金,83,0.24,16077,0.18,7266.95
百,202,0.58,31559,0.36,20565.64
秩,8,0.02,2145,0.02,477.5
石,22,0.06,10219,0.12,8573.78
俱,18,0.05,4304,0.05,724.43
歌,9,0.03,1833,0.02,1941.95
先,47,0.14,14979,0.17,4684.66
制,44,0.13,13861,0.16,4302.3
節,59,0.17,14600,0.17,530.44
衰,5,0.01,1442,0.02,861.39
麻,9,0.03,865,0.01,8929.68
泣,9,0.03,1402,0.02,4360.13
喪,10,0.03,3613,0.04,3349.51
紀,7,0.02,2763,0.03,3510.82
鼓,9,0.03,2757,0.03,1694.32
安,112,0.32,27887,0.32,537.3
婚,19,0.05,658,0.01,29797.44
姻,7,0.02,349,0.0,14084.43
冠,12,0.03,3057,0.03,59.2
別,30,0.09,4141,0.05,9993.08
射,18,0.05,4283,0.05,785.96
鄉,17,0.05,4512,0.05,571.77
食,91,0.26,8901,0.1,27856.97
正,67,0.19,23529,0.27,7978.76
交,12,0.03,5495,0.06,6176.97
接,10,0.03,1643,0.02,4084.79
則,52,0.15,22847,0.26,11948.23
亂,26,0.07,5897,0.07,1669.86
登,13,0.04,4755,0.05,3953.0
天,104,0.3,37265,0.42,10567.31
地,50,0.14,15153,0.17,3769.9
情,8,0.02,3069,0.03,3508.51
類,7,0.02,2863,0.03,3797.53
稱,47,0.14,8675,0.1,6456.22
終,12,0.03,5623,0.06,6424.77
始,30,0.09,9022,0.1,2793.39
象,7,0.02,3221,0.04,4756.93
親,35,0.1,9087,0.1,433.98
疏,5,0.01,7858,0.09,13878.22
幼,22,0.06,1612,0.02,18284.63
理,11,0.03,7300,0.08,9855.64
形,9,0.03,1545,0.02,3477.7
深,8,0.02,5362,0.06,8497.26
恐,13,0.04,3958,0.05,1970.61
齎,7,0.02,631,0.01,8437.56
季,11,0.03,2017,0.02,3187.64
魯,15,0.04,3077,0.04,2424.44
卜,7,0.02,1136,0.01,3516.33
名,66,0.19,15405,0.18,1969.95
『,11,0.03,3900,0.04,3324.5
』,10,0.03,3884,0.04,4041.52
社,5,0.01,2311,0.03,4051.08
室,20,0.06,4600,0.05,1278.97
輔,8,0.02,4576,0.05,7029.55
告,28,0.08,5549,0.06,3856.99
襄,9,0.03,3148,0.04,2884.83
亡,28,0.08,5615,0.06,3670.37
臣,79,0.23,33531,0.38,13789.94
妾,15,0.04,915,0.01,17650.83
熊,6,0.02,941,0.01,3509.6
當,43,0.12,14952,0.17,6193.61
成,68,0.2,17415,0.2,270.64
舉,22,0.06,12845,0.15,11973.47
勤,6,0.02,1834,0.02,1367.43
勞,7,0.02,2983,0.03,4130.18
嗣,46,0.13,5995,0.07,13585.02
楚,27,0.08,5479,0.06,3420.67
蠻,13,0.04,2752,0.03,1919.26
田,52,0.15,9180,0.1,7755.17
丹,8,0.02,3548,0.04,4763.05
夷,37,0.11,4003,0.05,15765.69
率,32,0.09,8255,0.09,307.34
服,39,0.11,8798,0.1,2145.32
加,31,0.09,12866,0.15,8245.47
位,33,0.1,10803,0.12,4385.11
尊,14,0.04,3855,0.04,927.25
耳,14,0.04,3780,0.04,709.09
壯,11,0.03,1642,0.02,5252.06
朱,17,0.05,2939,0.03,4692.34
囚,11,0.03,1682,0.02,5008.23
固,12,0.03,5096,0.06,5371.42
聽,14,0.04,5344,0.06,4585.27
督,23,0.07,8118,0.09,4743.54
遺,26,0.07,3848,0.04,8209.26
吾,21,0.06,6557,0.07,2849.58
言,64,0.18,35472,0.4,19106.56
