Dynasty,Target,target_abs_freq, target_rel_freq*100, ref_abs_freq, ref_rel_freq*100, G2
1,女,60,2.8,516,0.12,252.68
1,男,140,6.53,1,0.0,1463.44
1,后,18,0.84,933,0.23,20.84
1,氏,16,0.75,802,0.19,19.31
1,長,40,1.86,1183,0.29,81.44
1,生,41,1.91,1266,0.31,80.55
1,子,93,4.34,7278,1.76,57.03
1,人,54,2.52,4892,1.18,24.28
1,年,7,0.33,6307,1.52,29.62
1,孝,15,0.7,745,0.18,18.3
1,次,13,0.61,226,0.05,38.35
1,姬,11,0.51,221,0.05,29.66
1,幸,13,0.61,337,0.08,29.34
1,侯,6,0.28,4815,1.16,20.68
1,嫁,5,0.23,31,0.01,24.0
1,別,6,0.28,126,0.03,15.71
1,妾,6,0.28,117,0.03,16.49
1,朱,7,0.33,140,0.03,18.93
1,兒,6,0.28,104,0.03,17.73
2,子,161,3.15,6295,1.09,130.12
2,人,95,1.86,5881,1.01,28.4
2,男,251,4.91,1,0.0,2366.21
2,長,42,0.82,2078,0.36,22.05
2,女,115,2.25,593,0.1,472.26
2,婦,14,0.27,172,0.03,36.38
2,生,53,1.04,1240,0.21,81.76
2,耕,7,0.14,81,0.01,18.91
2,糧,6,0.12,66,0.01,16.73
2,績,5,0.1,17,0.0,24.11
2,擾,5,0.1,41,0.01,16.49
2,皇,31,0.61,1530,0.26,16.36
2,嫁,8,0.16,49,0.01,30.45
2,藪,9,0.18,11,0.0,57.98
2,畜,11,0.22,193,0.03,22.02
2,穀,11,0.22,261,0.04,16.73
2,種,8,0.16,135,0.02,16.53
2,浸,5,0.1,43,0.01,16.07
2,妻,13,0.25,294,0.05,20.74
2,姬,15,0.29,163,0.03,42.14
2,兒,9,0.18,145,0.02,19.28
3,男,150,5.26,1,0.0,1559.64
3,子,89,3.12,3897,0.73,121.25
3,歲,15,0.53,768,0.14,16.97
3,人,88,3.08,5774,1.08,69.8
3,賜,27,0.95,755,0.14,56.11
3,爵,21,0.74,308,0.06,67.11
3,級,41,1.44,173,0.03,222.34
3,鰥,13,0.46,23,0.0,89.36
3,寡,15,0.53,78,0.01,75.82
3,孤,14,0.49,198,0.04,45.65
3,獨,14,0.49,369,0.07,30.48
3,篤,13,0.46,222,0.04,38.04
3,貧,13,0.46,208,0.04,39.54
3,存,13,0.46,198,0.04,40.68
3,粟,13,0.46,41,0.01,77.04
3,斛,13,0.46,91,0.02,58.81
3,老,15,0.53,349,0.07,35.83
3,悌,11,0.39,26,0.0,70.5
3,力,12,0.42,341,0.06,24.62
3,田,11,0.39,442,0.08,16.43
3,流,13,0.46,424,0.08,23.72
3,數,24,0.84,1624,0.3,18.09
3,占,13,0.46,103,0.02,55.92
3,癃,10,0.35,11,0.0,75.83
3,妻,14,0.49,410,0.08,28.02
3,民,16,0.56,689,0.13,22.2
3,帛,8,0.28,142,0.03,22.87
