Target,target_abs_freq, target_rel_freq*100, ref_abs_freq, ref_rel_freq*100, G2
軒,33,0.03,721,0.01,43.77
轅,33,0.03,566,0.01,56.0
娶,163,0.17,265,0.0,914.99
西,205,0.22,28717,0.33,41.22
女,5585,5.9,1,0.0,50624.73
爲,363,0.38,11935,0.14,276.62
意,49,0.05,7721,0.09,16.87
山,144,0.15,19974,0.23,27.51
氏,426,0.45,7950,0.09,666.77
生,375,0.4,13225,0.15,253.27
放,51,0.05,1826,0.02,33.52
妻,542,0.57,2934,0.03,1968.94
觀,73,0.08,9714,0.11,11.09
德,170,0.18,20783,0.24,14.84
婦,454,0.48,1809,0.02,1887.17
禮,147,0.16,19343,0.22,20.92
召,58,0.06,9343,0.11,21.81
事,289,0.31,51329,0.59,155.53
言,242,0.26,35294,0.4,59.32
年,537,0.57,96596,1.11,301.73
男,570,0.6,1163,0.01,2998.41
貴,133,0.14,6093,0.07,51.38
親,139,0.15,8983,0.1,15.39
父,250,0.26,9719,0.11,140.26
母,325,0.34,6560,0.08,469.66
分,123,0.13,17507,0.2,26.8
取,181,0.19,7955,0.09,77.5
牛,119,0.13,2766,0.03,147.0
予,47,0.05,1936,0.02,23.35
人,1418,1.5,79105,0.91,300.01
平,190,0.2,23965,0.27,20.68
水,105,0.11,14442,0.17,19.18
土,104,0.11,5959,0.07,19.89
行,235,0.25,30137,0.35,28.52
左,114,0.12,15193,0.17,17.48
右,106,0.11,15666,0.18,27.64
民,262,0.28,19354,0.22,11.75
日,258,0.27,30442,0.35,17.02
月,292,0.31,56826,0.65,211.1
星,254,0.27,10628,0.12,121.87
辰,29,0.03,6419,0.07,30.26
文,167,0.18,25764,0.3,52.63
繡,29,0.03,736,0.01,32.16
服,132,0.14,8705,0.1,13.08
色,119,0.13,3725,0.04,98.15
明,156,0.16,20683,0.24,23.21
出,370,0.39,24413,0.28,36.54
辟,8,0.01,2593,0.03,20.01
功,87,0.09,12384,0.14,18.97
夏,47,0.05,8047,0.09,22.24
后,379,0.4,9093,0.1,450.77
子,1374,1.45,59734,0.68,603.77
正,155,0.16,23441,0.27,44.82
御,108,0.11,15865,0.18,27.38
政,108,0.11,15053,0.17,21.16
簡,15,0.02,3241,0.04,14.66
為,1330,1.4,106331,1.22,25.22
次,140,0.15,6960,0.08,43.23
妃,161,0.17,2188,0.03,333.4
北,139,0.15,20089,0.23,32.63
房,54,0.06,2275,0.03,25.52
眾,56,0.06,8514,0.1,16.57
舉,49,0.05,12818,0.15,77.37
罪,62,0.07,10404,0.12,27.26
君,153,0.16,10591,0.12,11.25
亡,101,0.11,5542,0.06,22.68
大,567,0.6,66416,0.76,35.15
理,39,0.04,7272,0.08,24.66
毋,45,0.05,2359,0.03,11.8
國,428,0.45,31886,0.37,17.79
樂,224,0.24,10641,0.12,78.64
戲,23,0.02,688,0.01,20.33
酒,93,0.1,4078,0.05,40.04
縣,139,0.15,20366,0.23,34.82
裸,13,0.01,61,0.0,50.41
長,390,0.41,17623,0.2,155.99
飲,50,0.05,1940,0.02,28.16
淫,70,0.07,788,0.01,166.78
殺,161,0.17,10518,0.12,16.81
臣,266,0.28,33344,0.38,27.76
夭,9,0.01,172,0.0,13.76
美,95,0.1,2750,0.03,88.14
善,65,0.07,10001,0.11,20.25
姜,18,0.02,438,0.01,21.04
原,36,0.04,5907,0.07,14.55
嬖,18,0.02,168,0.0,48.58
武,163,0.17,22574,0.26,30.88
王,773,0.82,55445,0.64,44.09
知,203,0.21,30169,0.35,54.3
妾,100,0.11,830,0.01,289.87
牧,8,0.01,2132,0.02,13.18
密,36,0.04,8195,0.09,40.44
公,583,0.62,24409,0.28,279.36
夫,354,0.37,15320,0.18,157.23
群,25,0.03,4374,0.05,12.77
童,45,0.05,808,0.01,73.13
箕,20,0.02,371,0.0,31.49
實,52,0.05,7737,0.09,13.98
請,112,0.12,18820,0.22,49.5
贖,24,0.03,804,0.01,17.73
姒,8,0.01,67,0.0,23.07
將,310,0.33,35926,0.41,17.48
孫,240,0.25,8724,0.1,153.39
修,56,0.06,8404,0.1,15.65
織,83,0.09,677,0.01,243.06
玄,83,0.09,3812,0.04,31.86
玉,112,0.12,5142,0.06,43.03
適,85,0.09,1764,0.02,119.27
孝,157,0.17,8565,0.1,35.99
保,51,0.05,8041,0.09,17.6
廢,28,0.03,5814,0.07,24.5
元,190,0.2,33391,0.38,98.6
弟,316,0.33,6879,0.08,420.81
宗,401,0.42,27912,0.32,28.41
試,17,0.02,4079,0.05,21.83
遺,65,0.07,3809,0.04,11.36
奪,54,0.06,2946,0.03,12.38
疏,32,0.03,7831,0.09,43.13
地,122,0.13,15081,0.17,11.55
兵,223,0.24,37019,0.42,94.18
察,22,0.02,7012,0.08,53.2
史,200,0.21,26177,0.3,27.56
建,68,0.07,11787,0.14,33.63
職,41,0.04,7348,0.08,22.75
僊,7,0.01,122,0.0,11.7
士,244,0.26,29682,0.34,20.53
宮,362,0.38,11911,0.14,275.52
室,163,0.17,4457,0.05,163.85
虜,42,0.04,1969,0.02,15.28
珍,35,0.04,1150,0.01,26.7
寶,108,0.11,6973,0.08,12.02
貨,33,0.03,1184,0.01,21.6
財,63,0.07,2628,0.03,30.44
關,40,0.04,6768,0.08,18.13
東,195,0.21,29811,0.34,59.11
齊,107,0.11,6679,0.08,14.12
城,171,0.18,21362,0.24,17.43
田,62,0.07,9170,0.11,16.22
卒,96,0.1,16364,0.19,44.71
弱,39,0.04,1715,0.02,16.68
甲,64,0.07,8746,0.1,11.29
擊,45,0.05,7805,0.09,22.3
帚,5,0.01,21,0.0,20.34
罷,38,0.04,9391,0.11,52.45
呂,84,0.09,3946,0.05,30.39
媼,14,0.01,104,0.0,43.24
常,87,0.09,13552,0.16,28.56
兒,143,0.15,2034,0.02,285.49
魯,68,0.07,3024,0.03,28.3
主,641,0.68,14466,0.17,819.48
床,35,0.04,259,0.0,108.33
軍,222,0.23,44940,0.52,180.54
章,67,0.07,9775,0.11,16.45
皇,382,0.4,15328,0.18,200.76
愛,88,0.09,2451,0.03,86.24
姬,53,0.06,649,0.01,118.85
妒,22,0.02,126,0.0,77.79
營,26,0.03,5687,0.07,26.28
澤,14,0.01,2909,0.03,12.27
產,48,0.05,1626,0.02,34.79
部,79,0.08,27247,0.31,223.24
戰,56,0.06,8690,0.1,18.09
制,108,0.11,13797,0.16,12.79
然,81,0.09,13442,0.15,34.17
級,54,0.06,1532,0.02,51.57
會,77,0.08,10907,0.12,16.38
罵,23,0.02,594,0.01,24.94
益,44,0.05,7707,0.09,22.57
泣,41,0.04,1370,0.02,30.41
書,144,0.15,35294,0.4,194.81
吏,106,0.11,13448,0.15,11.99
法,92,0.1,14773,0.17,34.17
刑,25,0.03,6794,0.08,43.06
嫁,191,0.2,444,0.01,964.9
祀,24,0.03,5160,0.06,23.15
哭,29,0.03,1169,0.01,15.09
殿,49,0.05,11556,0.13,60.26
死,315,0.33,16966,0.19,75.48
