Target,target_abs_freq, target_rel_freq*100, ref_abs_freq, ref_rel_freq*100, G2
女,581,1.67,5005,0.06,2745.86
妻,129,0.37,3347,0.04,352.34
男,1732,4.99,1,0.0,19168.31
益,9,0.03,7742,0.09,21.06
篤,18,0.05,910,0.01,28.97
公,165,0.48,24827,0.28,37.72
分,37,0.11,17593,0.2,18.25
封,216,0.62,18205,0.21,185.97
國,223,0.64,32091,0.37,59.26
氏,74,0.21,8302,0.09,37.87
縣,252,0.73,20253,0.23,233.01
裸,10,0.03,64,0.0,52.66
長,190,0.55,17823,0.2,137.39
西,41,0.12,28881,0.33,61.99
生,242,0.7,13358,0.15,356.23
子,722,2.08,60386,0.69,628.97
人,554,1.6,79969,0.91,145.76
世,25,0.07,13523,0.15,18.78
年,287,0.83,96846,1.1,25.96
明,53,0.15,20786,0.24,11.74
職,13,0.04,7376,0.08,11.24
事,102,0.29,51516,0.59,61.79
請,38,0.11,18894,0.22,21.86
童,22,0.06,831,0.01,45.87
千,143,0.41,22427,0.26,28.05
淫,17,0.05,841,0.01,27.95
夫,167,0.48,15507,0.18,122.89
殺,71,0.2,10608,0.12,16.64
日,73,0.21,30627,0.35,22.08
王,497,1.43,55721,0.63,254.72
東,80,0.23,29926,0.34,13.86
見,38,0.11,15860,0.18,11.24
孝,65,0.19,8657,0.1,21.81
肥,9,0.03,502,0.01,13.1
意,14,0.04,7756,0.09,11.29
時,73,0.21,29887,0.34,19.82
陽,123,0.35,18462,0.21,28.36
南,61,0.18,35373,0.4,56.08
祖,29,0.08,13705,0.16,14.0
母,63,0.18,6822,0.08,34.75
餘,143,0.41,17457,0.2,60.27
弟,72,0.21,7123,0.08,47.35
姬,38,0.11,664,0.01,130.61
斬,45,0.13,4929,0.06,24.23
行,60,0.17,30312,0.35,36.38
兵,102,0.29,37140,0.42,15.17
民,190,0.55,19426,0.22,117.46
死,110,0.32,17171,0.2,21.97
伯,78,0.22,6466,0.07,68.87
衛,74,0.21,11724,0.13,13.95
嫁,33,0.1,602,0.01,110.86
詔,59,0.17,23239,0.26,13.35
戶,119,0.34,12259,0.14,72.51
善,17,0.05,10049,0.11,16.48
路,18,0.05,9419,0.11,12.21
耕,22,0.06,1245,0.01,31.54
賜,128,0.37,12265,0.14,89.18
百,202,0.58,31559,0.36,40.21
婚,19,0.05,658,0.01,42.4
姻,7,0.02,349,0.0,11.42
食,91,0.26,8901,0.1,61.1
則,52,0.15,22847,0.26,19.06
天,104,0.3,37265,0.42,14.05
疏,5,0.01,7858,0.09,33.71
幼,22,0.06,1612,0.02,23.15
理,11,0.03,7300,0.08,14.41
臣,79,0.23,33531,0.38,25.11
妾,15,0.04,915,0.01,19.79
舉,22,0.06,12845,0.15,20.62
嗣,46,0.13,5995,0.07,16.39
夷,37,0.11,4003,0.05,20.44
言,64,0.18,35472,0.4,51.7
然,25,0.07,13498,0.15,18.68
進,46,0.13,21596,0.25,21.68
知,59,0.17,30313,0.35,37.78
出,48,0.14,24735,0.28,31.03
重,17,0.05,10597,0.12,19.0
復,54,0.16,26965,0.31,31.51
朔,9,0.03,6284,0.07,13.33
婦,130,0.37,2133,0.02,461.63
老,39,0.11,4657,0.05,17.33
政,17,0.05,15144,0.17,42.7
月,128,0.37,56990,0.65,49.44
邑,83,0.24,4075,0.05,137.45
司,63,0.18,28797,0.33,26.91
河,53,0.15,22124,0.25,15.68
兒,53,0.15,2124,0.02,105.28
美,24,0.07,2821,0.03,11.07
定,33,0.1,16642,0.19,19.89
謂,23,0.07,12224,0.14,16.38
參,13,0.04,7549,0.09,12.0
除,16,0.05,8656,0.1,12.03
郡,99,0.29,13553,0.15,30.69
萬,135,0.39,25019,0.28,11.85
