Target,shiji, hanshu, houhanshu, sanguozhi,jiutangshu,songshi, mingshi
女,575,707,543,223,867,1321,1349
母,406,577,634,235,1069,1990,1973
妻,173,306,423,178,605,733,1057
婦,131,185,201,59,267,543,876
姊,60,97,35,19,74,42,60
妃,28,65,38,49,417,632,1119
婢,24,103,57,27,87,76,84
姒,19,17,4,1,9,12,12
媼,15,26,1,0,6,44,25
嫗,14,15,4,2,8,18,19
嫂,13,15,9,8,24,17,18
姬,231,177,71,37,38,104,43
妾,122,130,77,39,114,175,272
尼,50,48,49,31,152,80,81
嬪,0,4,7,11,38,85,58
妹,5,17,42,16,104,62,98
乳母,16,9,21,2,18,19,6
夫人,239,260,95,118,149,319,137
女子,45,75,48,8,31,30,23
室女,3,2,1,1,5,11,1
少女,5,3,1,0,4,0,1
帝后,2,3,3,2,10,1,2
後母,7,22,15,2,7,7,3
玉女,2,8,1,0,4,3,3
王后,74,39,6,9,16,18,5
皇后,53,336,272,100,499,1075,580
美人,31,44,16,5,21,52,1
美女,9,2,3,4,4,7,2
貴人,61,85,213,16,37,98,32
皇太后,17,221,87,30,121,649,277
王,9251,8148,3379,1616,9093,11586,13144
子,7370,6455,3985,2046,10145,16165,14941
公,5458,3216,1877,1269,4738,5688,2745
侯,4820,5926,1826,1107,571,1080,1700
君,2398,1569,1010,780,1755,2160,1071
臣,2272,2893,1785,1018,5690,10866,9085
兵,2010,2038,1872,1368,5859,12315,11779
帝,1766,3181,3371,1098,3274,7994,11219
士,835,1235,1108,721,4749,12844,8433
父,809,966,798,374,1889,2631,2501
孫,621,1491,622,673,1123,2326,2107
伯,555,487,437,132,518,2794,1620
皇,526,1560,1031,364,2978,5595,3655
叔,424,242,187,91,561,559,316
辟,182,258,372,173,465,888,262
賓,156,179,205,71,697,783,753
男,140,251,150,88,575,258,270
昆,122,291,97,6,214,79,136
兒,109,153,102,71,230,333,1178
宦,73,77,161,20,134,245,175
友,75,123,163,93,368,771,910
俠,48,55,41,20,23,80,25
翁,40,143,30,8,30,323,151
童,29,53,68,29,141,339,193
孽,20,63,40,4,81,38,78
舅,16,114,63,16,173,97,110
紳,10,10,13,3,177,173,145
官,462,1323,1364,578,6200,18538,14611
卿,449,700,611,253,2873,3260,2361
吏,500,1470,1071,486,2174,4472,3380
師,531,974,900,249,3638,8281,4077
兄,229,362,503,195,901,804,726
叟,16,5,9,9,9,397,14
婿,9,20,15,16,123,143,129
甥,3,6,8,11,96,40,38
儐,2,2,1,1,2,35,18
娣,2,23,1,0,25,6,6
哥,1,3,0,0,98,91,73
丈夫,21,19,24,7,32,21,13
世子,6,27,2,18,14,18,289
中尉,91,126,7,10,139,5,53
列侯,109,251,94,65,1,3,13
力士,5,4,0,1,82,19,23
勇士,12,11,6,1,17,28,44
匹夫,16,17,19,17,25,17,17
博士,61,210,143,27,370,749,155
叔父,2,11,28,28,38,28,57
史官,4,10,59,6,81,77,35
司寇,10,14,18,1,2,9,11
司徒,21,73,424,81,406,160,18
君子,162,116,129,67,179,370,124
大夫,612,1106,351,138,2201,3007,344
大王,249,188,23,33,34,47,41
大理,4,7,1,13,316,847,554
大臣,184,282,72,51,213,1048,961
天王,14,13,6,1,16,30,40
天皇,2,1,1,0,90,100,6
天子,624,739,263,157,516,620,428
太公,68,46,14,2,33,15,17
太后,418,970,531,78,289,1405,610
太子,917,739,229,177,2466,1567,2248
太守,99,392,1132,635,281,42,16
子嗣,7,6,3,0,10,12,29
孝子,6,22,32,15,34,32,36
孽子,3,4,0,1,9,1,3
帝王,24,67,46,34,121,153,116
次子,9,22,5,17,38,51,74
武士,7,6,6,3,19,30,9
王子,350,550,45,11,60,133,192
男子,13,50,41,21,27,40,56
皇子,46,42,52,15,42,254,91
皇帝,214,476,199,96,845,1261,637
秀才,2,1,2,1,18,7,31
童子,5,7,12,2,19,62,17
老父,13,13,14,0,3,4,8
兒子,5,7,2,9,6,2,4
伯父,3,2,9,8,22,19,16
士大夫,25,38,37,20,28,318,153
大丈夫,3,6,15,4,8,13,4
太史公,169,18,7,0,1,10,2
皇太子,4,70,76,8,429,333,456
